Time,NPoints,FrameTime
1588738377373958,337820,363
1588738377416229,366041,645
1588738377469191,366041,378
1588738377541977,394288,374
1588738377600709,394288,374
1588738377668644,394288,410
1588738377742072,422498,382
1588738377801316,422498,395
1588738377869428,422498,383
1588738377946807,450688,378
1588738378013171,450688,630
1588738378068289,450688,421
1588738378135733,478918,416
1588738378211283,478918,440
1588738378271293,478918,614
1588738378345632,507117,423
1588738378402267,507117,438
1588738378471565,507117,442
1588738378541201,535334,463
1588738378607269,535334,476
1588738378670158,535334,447
1588738378741592,563548,460
1588738378808575,563548,467
1588738378876798,563548,480
1588738378943860,591761,443
1588738379005334,591761,467
1588738379074346,591761,466
1588738379141365,620042,483
1588738379199858,620042,472
1588738379270650,620042,603
1588738379336165,620042,476
1588738379412860,648375,468
1588738379469272,648375,475
1588738379539781,648375,471
1588738379605079,676757,502
1588738379671401,676757,503
1588738379747305,705102,495
1588738379803468,705102,486
1588738379871384,705102,477
1588738379938238,733412,483
1588738380007397,733412,482
1588738380076761,733412,501
1588738380140526,761671,479
1588738380209432,761671,516
1588738380272253,761671,481
1588738380347299,761671,481
1588738380401843,789872,487
1588738380476156,789872,490
1588738380544581,818125,491
1588738380603168,818125,504
1588738380686624,818125,515
1588738380743167,818125,508
1588738380801738,846415,553
1588738380868199,846415,572
1588738380946341,846785,504
1588738381007027,846785,573
1588738381070764,846785,527
1588738381139208,846785,668
1588738381200619,847095,529
1588738381276712,847095,527
1588738381345507,847095,535
1588738381406596,847439,568
1588738381479792,847439,586
1588738381540982,847626,559
1588738381607933,847626,612
1588738381670622,847626,571
1588738381756578,847626,579
1588738381808266,847773,560
1588738381874759,847773,558
1588738381944346,847773,565
1588738382013910,847940,556
1588738382087633,847940,555
1588738382141483,848081,540
1588738382209571,848081,558
1588738382271242,848081,549
1588738382339453,848081,551
1588738382414230,848259,539
1588738382469354,848259,527
1588738382544903,848259,528
1588738382605638,848392,531
1588738382678788,848392,533
1588738382736560,848392,524
1588738382812366,848453,589
1588738382881153,848453,530
1588738382939818,848453,521
1588738383029280,848361,522
1588738383073237,848361,525
1588738383147732,848220,484
1588738383209429,848220,506
1588738383272944,848220,503
1588738383340910,848220,505
1588738383405266,848260,508
1588738383476363,848260,723
1588738383535855,848260,526
1588738383619689,848307,528
1588738383673593,848307,523
1588738383754684,848494,527
1588738383812661,848494,602
1588738383875058,848494,541
1588738383955617,848494,509
1588738384005633,848664,525
1588738384094039,848664,551
1588738384143294,848757,509
1588738384207999,848757,571
1588738384279966,848757,523
1588738384341236,848757,520
1588738384416640,848899,532
1588738384473987,848899,957
1588738384550676,848899,552
1588738384608510,848989,530
1588738384677845,848989,512
