Time,NPoints,FrameTime
1588708741717498,309842,142640
1588708741870448,338063,38673
1588708741909244,338063,35266
1588708741961989,366310,41651
1588708742020738,366310,37880
1588708742088661,366310,41318
1588708742162165,394520,44779
1588708742221376,394520,46099
1588708742289582,394520,40425
1588708742372223,422710,43495
1588708742433194,422710,43048
1588708742488335,422710,45731
1588708742555855,450940,50108
1588708742631263,450940,45389
1588708742691317,450940,48322
1588708742765752,479139,50993
1588708742822376,479139,51570
1588708742891619,479139,47120
1588708742961256,507356,53116
1588708743027229,507356,55320
1588708743090219,507356,53068
1588708743161720,535570,55923
1588708743228659,535570,55745
1588708743296864,535570,57119
1588708743368321,563783,54869
1588708743425376,563783,54729
1588708743494413,563783,58023
1588708743567978,592064,57161
1588708743625245,592064,56933
1588708743690716,592064,59268
1588708743756014,592064,59862
1588708743832930,620397,63163
1588708743896197,620397,59100
1588708743959825,620397,62938
1588708744038005,648779,61969
1588708744100078,648779,61383
1588708744177951,677124,64792
1588708744242858,677124,64765
1588708744307711,677124,64277
1588708744388607,705434,68055
1588708744456768,705434,66565
1588708744523431,705434,66714
1588708744607710,733693,70010
1588708744677838,733693,69300
1588708744747244,733693,69029
1588708744816395,733693,68955
1588708744903422,761894,71823
1588708744993367,790147,74364
1588708745067843,790147,73580
1588708745141535,790147,73391
1588708745215039,790147,73370
1588708745307144,818437,76247
1588708745403221,846785,78517
1588708745481847,846785,78006
1588708745559964,846785,77680
1588708745657543,847095,78333
1588708745736004,847095,77371
1588708745813491,847095,77389
1588708745910662,847439,78124
1588708746008451,847626,78576
1588708746087141,847626,78304
1588708746165561,847626,77737
1588708746243405,847626,76602
1588708746339516,847773,77480
1588708746417111,847773,76827
1588708746513309,847940,77039
1588708746609727,848081,77419
1588708746687264,848081,76528
1588708746763924,848081,75841
1588708746859279,848259,76042
1588708746935432,848259,74629
1588708747010177,848259,74651
1588708747104442,848392,75466
1588708747180019,848392,74352
1588708747273833,848453,75131
1588708747349063,848453,74974
1588708747424123,848453,74771
1588708747518367,848361,75141
1588708747613543,848220,75760
1588708747689397,848220,74988
1588708747764486,848220,74591
1588708747858561,848260,75045
1588708747933705,848260,74583
1588708748008379,848260,74825
1588708748103921,848307,74751
1588708748198859,848494,75360
1588708748274317,848494,75436
1588708748349852,848494,75143
1588708748425088,848494,74812
1588708748521385,848664,74501
1588708748615569,848757,75188
1588708748690857,848757,74823
1588708748765773,848757,74433
1588708748859711,848899,74848
1588708748934657,848899,74360
1588708749009113,848899,74167
1588708749102745,848989,74628
