Time,NPoints,FrameTime
1588708730764031,309842,28983
1588708730803910,338063,31850
1588708730882294,338063,31124
1588708730935245,338063,31060
1588708731008126,366310,38712
1588708731066824,366310,41205
1588708731134710,366310,33187
1588708731208187,394520,35559
1588708731267456,394520,35461
1588708731335643,394520,44511
1588708731425435,422710,38469
1588708731479297,422710,44409
1588708731534388,422710,44867
1588708731601955,450940,43352
1588708731677341,450940,40095
1588708731737347,450940,40064
1588708731811748,479139,47787
1588708731868403,479139,45262
1588708731937666,479139,41822
1588708732007312,507356,48803
1588708732073295,507356,43864
1588708732136169,507356,43841
1588708732207584,535570,51067
1588708732274696,535570,50277
1588708732342920,535570,45642
1588708732414748,563783,47765
1588708732471430,563783,51505
1588708732540477,563783,47615
1588708732607485,592064,55007
1588708732665953,592064,53104
1588708732736768,592064,57855
1588708732802042,592064,53851
1588708732878998,620397,57802
1588708732936903,620397,52250
1588708733005881,620397,51747
1588708733073876,648779,54439
1588708733137414,648779,58528
1588708733213423,677124,57060
1588708733270583,677124,56683
1588708733337883,677124,61731
1588708733417083,705434,59195
1588708733476391,705434,58730
1588708733542838,705434,60658
1588708733621731,733693,61040
1588708733682879,733693,60611
1588708733743598,733693,60504
1588708733813358,733693,64086
1588708733898502,761894,66839
1588708733965469,761894,62459
1588708734047278,790147,65211
1588708734112601,790147,64609
1588708734177332,790147,64789
1588708734242240,790147,63987
1588708734326239,818437,66970
1588708734393329,818437,66568
1588708734480637,846785,68936
1588708734549695,846785,68617
1588708734618435,846785,68370
1588708734707619,847095,69228
1588708734776959,847095,67854
1588708734844923,847095,67851
1588708734933546,847439,69102
1588708735002768,847439,68705
1588708735092339,847626,69060
1588708735161510,847626,68580
1588708735230199,847626,67909
1588708735318897,847773,69226
1588708735388244,847773,67825
1588708735456177,847773,67752
1588708735544754,847940,68128
1588708735612997,847940,66869
1588708735700781,848081,67814
1588708735768713,848081,66482
1588708735835312,848081,66506
1588708735922655,848259,66545
1588708735989300,848259,65936
1588708736055319,848259,65061
1588708736141301,848392,66075
1588708736207482,848392,64826
1588708736293146,848453,65910
1588708736359166,848453,64970
1588708736424227,848453,65002
1588708736510301,848361,65509
1588708736575911,848361,65047
1588708736661418,848220,65779
1588708736727293,848220,65373
1588708736792762,848220,65219
1588708736858096,848220,64978
1588708736941545,848260,65621
1588708737007274,848260,64934
1588708737090665,848307,65668
1588708737156430,848307,65615
1588708737242446,848494,66384
1588708737308928,848494,65729
1588708737374749,848494,65461
1588708737440292,848494,65102
1588708737523875,848664,65743
1588708737589711,848664,65446
1588708737673621,848757,65808
1588708737739533,848757,65566
1588708737805191,848757,65195
1588708737870480,848757,65029
1588708737953974,848899,65167
1588708738019245,848899,64822
1588708738102559,848989,65613
1588708738168273,848989,65065
